Pelicula,Director,Duración,Sala,Horario,Fecha,Cine,Tickets_URL,Film_URL,Poster_URL,Idioma_Original,Calificación,Estreno,Intérpretes,Sinopsis
"SORRY, BABY",Eva Victor,102,01,18:00,2026-03-04,Renoir Princesa,https://www.pillalas.com/pase/1056830/,https://www.cinesrenoir.com/pelicula/sorry-baby/,https://media.pillalas.com/imagenes/726afb526abffa837c59681f561d4afba82a26ef8235abdaa380a4c9cf2bacb70dacac1c.jpg,Inglés,No recomendada para menores de 16 años y distintivo especialmente recomendada para el fomento de la igualdad de género,Viernes 27 Febrero 2026,"Eva Victor, Naomi Ackie, Lucas Hedges, John Carroll Lynch, Louis Cancelmi","A Agnes le pasó algo malo. Pero la vida sigue, al menos para todos los que la rodean."
"SORRY, BABY",Eva Victor,102,01,20:00,2026-03-04,Renoir Princesa,https://www.pillalas.com/pase/1056833/,https://www.cinesrenoir.com/pelicula/sorry-baby/,https://media.pillalas.com/imagenes/726afb526abffa837c59681f561d4afba82a26ef8235abdaa380a4c9cf2bacb70dacac1c.jpg,Inglés,No recomendada para menores de 16 años y distintivo especialmente recomendada para el fomento de la igualdad de género,Viernes 27 Febrero 2026,"Eva Victor, Naomi Ackie, Lucas Hedges, John Carroll Lynch, Louis Cancelmi","A Agnes le pasó algo malo. Pero la vida sigue, al menos para todos los que la rodean."
"SORRY, BABY",Eva Victor,102,02,22:45,2026-03-04,Renoir Princesa,https://www.pillalas.com/pase/1056836/,https://www.cinesrenoir.com/pelicula/sorry-baby/,https://media.pillalas.com/imagenes/726afb526abffa837c59681f561d4afba82a26ef8235abdaa380a4c9cf2bacb70dacac1c.jpg,Inglés,No recomendada para menores de 16 años y distintivo especialmente recomendada para el fomento de la igualdad de género,Viernes 27 Febrero 2026,"Eva Victor, Naomi Ackie, Lucas Hedges, John Carroll Lynch, Louis Cancelmi","A Agnes le pasó algo malo. Pero la vida sigue, al menos para todos los que la rodean."
TRES ADIOSES,Isabel Coixet,122,02,16:00,2026-03-04,Renoir Princesa,https://www.pillalas.com/pase/1056829/,https://www.cinesrenoir.com/pelicula/tres-adioses/,https://media.pillalas.com/imagenes/726afb526abffa832ea2a44a189894de905fc7e94534a8bf4ef6bf13e5ccdfe90922c22e.jpg,Italiano,No recomendada para menores de 12 años,Viernes 6 Febrero 2026,"Alba Rohrwacher, Elio Germano, Francesco Carril, Silvia D Amico, Galatea Bellugi, Sarita Choudhury","Tras lo que parecía una discusión sin importancia, Marta (Alba Rohrwacher) y Antonio (Elio Germano) se separan. Él, un chef prometedor, se refugia en sus fogones; ella, en su silencio, empieza a notar algo más que tristeza: ha perdido el apetito… y no solo por desamor. Cuando descubre que detrás hay un problema de salud, todo da un giro inesperado: la comida sabe mejor, la música le llega como nunca y el deseo despierta sus ganas de vivir sin miedo.
Una historia sobre el amor, la vida y esos momentos que lo cambian todo para siempre."
TRES ADIOSES,Isabel Coixet,122,02,18:15,2026-03-04,Renoir Princesa,https://www.pillalas.com/pase/1056831/,https://www.cinesrenoir.com/pelicula/tres-adioses/,https://media.pillalas.com/imagenes/726afb526abffa832ea2a44a189894de905fc7e94534a8bf4ef6bf13e5ccdfe90922c22e.jpg,Italiano,No recomendada para menores de 12 años,Viernes 6 Febrero 2026,"Alba Rohrwacher, Elio Germano, Francesco Carril, Silvia D Amico, Galatea Bellugi, Sarita Choudhury","Tras lo que parecía una discusión sin importancia, Marta (Alba Rohrwacher) y Antonio (Elio Germano) se separan. Él, un chef prometedor, se refugia en sus fogones; ella, en su silencio, empieza a notar algo más que tristeza: ha perdido el apetito… y no solo por desamor. Cuando descubre que detrás hay un problema de salud, todo da un giro inesperado: la comida sabe mejor, la música le llega como nunca y el deseo despierta sus ganas de vivir sin miedo.
Una historia sobre el amor, la vida y esos momentos que lo cambian todo para siempre."
TRES ADIOSES,Isabel Coixet,122,02,20:30,2026-03-04,Renoir Princesa,https://www.pillalas.com/pase/1056834/,https://www.cinesrenoir.com/pelicula/tres-adioses/,https://media.pillalas.com/imagenes/726afb526abffa832ea2a44a189894de905fc7e94534a8bf4ef6bf13e5ccdfe90922c22e.jpg,Italiano,No recomendada para menores de 12 años,Viernes 6 Febrero 2026,"Alba Rohrwacher, Elio Germano, Francesco Carril, Silvia D Amico, Galatea Bellugi, Sarita Choudhury","Tras lo que parecía una discusión sin importancia, Marta (Alba Rohrwacher) y Antonio (Elio Germano) se separan. Él, un chef prometedor, se refugia en sus fogones; ella, en su silencio, empieza a notar algo más que tristeza: ha perdido el apetito… y no solo por desamor. Cuando descubre que detrás hay un problema de salud, todo da un giro inesperado: la comida sabe mejor, la música le llega como nunca y el deseo despierta sus ganas de vivir sin miedo.
Una historia sobre el amor, la vida y esos momentos que lo cambian todo para siempre."
CUMBRES BORRASCOSAS,Emerald Fennell,135,09,16:10,2026-03-05,Renoir Princesa,https://www.pillalas.com/pase/1057067/,https://www.cinesrenoir.com/pelicula/cumbres-borrascosas/,https://media.pillalas.com/imagenes/726afb526abffa83abe8577deb3c0674bd352fd2b0500497b1d5570f2dd570487210fc4e.jpg,Inglés,No recomendada para menores de 16 años,Viernes 13 Febrero 2026,"Margot Robbie, Jacob Elordi, Hong Chau, Alison Oliver, Owen Cooper, Shazad Latif, Martin Clunes, Ewan Mitchell, Amy Morgan, Jessica Knappett, Charlotte Mellington, Vy Nguyen","Adaptada a todo tipo de formatos en multitud de ocasiones, se trata de una trágica historia de pasiones encontradas en la Inglaterra rural más conservadora. Una historia de venganza y odio, de pasiones desatadas y amores desesperados que van más allá de la muerte ambientada en los brumosos y sombríos páramos de Yorkshire, al norte de Inglaterra."
CUMBRES BORRASCOSAS,Emerald Fennell,135,11,18:10,2026-03-05,Renoir Princesa,https://www.pillalas.com/pase/1057072/,https://www.cinesrenoir.com/pelicula/cumbres-borrascosas/,https://media.pillalas.com/imagenes/726afb526abffa83abe8577deb3c0674bd352fd2b0500497b1d5570f2dd570487210fc4e.jpg,Inglés,No recomendada para menores de 16 años,Viernes 13 Febrero 2026,"Margot Robbie, Jacob Elordi, Hong Chau, Alison Oliver, Owen Cooper, Shazad Latif, Martin Clunes, Ewan Mitchell, Amy Morgan, Jessica Knappett, Charlotte Mellington, Vy Nguyen","Adaptada a todo tipo de formatos en multitud de ocasiones, se trata de una trágica historia de pasiones encontradas en la Inglaterra rural más conservadora. Una historia de venganza y odio, de pasiones desatadas y amores desesperados que van más allá de la muerte ambientada en los brumosos y sombríos páramos de Yorkshire, al norte de Inglaterra."
CUMBRES BORRASCOSAS,Emerald Fennell,135,11,20:35,2026-03-05,Renoir Princesa,https://www.pillalas.com/pase/1057073/,https://www.cinesrenoir.com/pelicula/cumbres-borrascosas/,https://media.pillalas.com/imagenes/726afb526abffa83abe8577deb3c0674bd352fd2b0500497b1d5570f2dd570487210fc4e.jpg,Inglés,No recomendada para menores de 16 años,Viernes 13 Febrero 2026,"Margot Robbie, Jacob Elordi, Hong Chau, Alison Oliver, Owen Cooper, Shazad Latif, Martin Clunes, Ewan Mitchell, Amy Morgan, Jessica Knappett, Charlotte Mellington, Vy Nguyen","Adaptada a todo tipo de formatos en multitud de ocasiones, se trata de una trágica historia de pasiones encontradas en la Inglaterra rural más conservadora. Una historia de venganza y odio, de pasiones desatadas y amores desesperados que van más allá de la muerte ambientada en los brumosos y sombríos páramos de Yorkshire, al norte de Inglaterra."
CUMBRES BORRASCOSAS,Emerald Fennell,135,09,21:45,2026-03-05,Renoir Princesa,https://www.pillalas.com/pase/1057071/,https://www.cinesrenoir.com/pelicula/cumbres-borrascosas/,https://media.pillalas.com/imagenes/726afb526abffa83abe8577deb3c0674bd352fd2b0500497b1d5570f2dd570487210fc4e.jpg,Inglés,No recomendada para menores de 16 años,Viernes 13 Febrero 2026,"Margot Robbie, Jacob Elordi, Hong Chau, Alison Oliver, Owen Cooper, Shazad Latif, Martin Clunes, Ewan Mitchell, Amy Morgan, Jessica Knappett, Charlotte Mellington, Vy Nguyen","Adaptada a todo tipo de formatos en multitud de ocasiones, se trata de una trágica historia de pasiones encontradas en la Inglaterra rural más conservadora. Una historia de venganza y odio, de pasiones desatadas y amores desesperados que van más allá de la muerte ambientada en los brumosos y sombríos páramos de Yorkshire, al norte de Inglaterra."
EL AGENTE SECRETO,Kleber Mendonça Filho,160,04,16:00,2026-03-05,Renoir Princesa,https://www.pillalas.com/pase/1056969/,https://www.cinesrenoir.com/pelicula/el-agente-secreto/,https://media.pillalas.com/imagenes/726afb526abffa83bdba0b90e98cf11293bcd8b9c8be1af817aa6c045cd8f479730f7511.jpg,Portugués,No recomendada para menores de 16 años,Viernes 20 Febrero 2026,"Wagner Moura, Gabriel Leone, Udo Kier, Maria Fernanda Cândido","1977. En un Brasil atormentado por la dictadura militar, Marcelo, un cuarentón que huye de un pasado turbulento, llega a la ciudad de Recife, donde espera construir una nueva vida y reencontrarse con su hijo. Todo se complica cuando descubre que las fuerzas gubernamentales le persiguen y las amenazas de muerte se ciernen sobre su cabeza."
EL AGENTE SECRETO,Kleber Mendonça Filho,160,07,17:15,2026-03-05,Renoir Princesa,https://www.pillalas.com/pase/1056971/,https://www.cinesrenoir.com/pelicula/el-agente-secreto/,https://media.pillalas.com/imagenes/726afb526abffa83bdba0b90e98cf11293bcd8b9c8be1af817aa6c045cd8f479730f7511.jpg,Portugués,No recomendada para menores de 16 años,Viernes 20 Febrero 2026,"Wagner Moura, Gabriel Leone, Udo Kier, Maria Fernanda Cândido","1977. En un Brasil atormentado por la dictadura militar, Marcelo, un cuarentón que huye de un pasado turbulento, llega a la ciudad de Recife, donde espera construir una nueva vida y reencontrarse con su hijo. Todo se complica cuando descubre que las fuerzas gubernamentales le persiguen y las amenazas de muerte se ciernen sobre su cabeza."
EL AGENTE SECRETO,Kleber Mendonça Filho,160,04,18:55,2026-03-05,Renoir Princesa,https://www.pillalas.com/pase/1056974/,https://www.cinesrenoir.com/pelicula/el-agente-secreto/,https://media.pillalas.com/imagenes/726afb526abffa83bdba0b90e98cf11293bcd8b9c8be1af817aa6c045cd8f479730f7511.jpg,Portugués,No recomendada para menores de 16 años,Viernes 20 Febrero 2026,"Wagner Moura, Gabriel Leone, Udo Kier, Maria Fernanda Cândido","1977. En un Brasil atormentado por la dictadura militar, Marcelo, un cuarentón que huye de un pasado turbulento, llega a la ciudad de Recife, donde espera construir una nueva vida y reencontrarse con su hijo. Todo se complica cuando descubre que las fuerzas gubernamentales le persiguen y las amenazas de muerte se ciernen sobre su cabeza."
EL AGENTE SECRETO,Kleber Mendonça Filho,160,04,21:50,2026-03-05,Renoir Princesa,https://www.pillalas.com/pase/1056979/,https://www.cinesrenoir.com/pelicula/el-agente-secreto/,https://media.pillalas.com/imagenes/726afb526abffa83bdba0b90e98cf11293bcd8b9c8be1af817aa6c045cd8f479730f7511.jpg,Portugués,No recomendada para menores de 16 años,Viernes 20 Febrero 2026,"Wagner Moura, Gabriel Leone, Udo Kier, Maria Fernanda Cândido","1977. En un Brasil atormentado por la dictadura militar, Marcelo, un cuarentón que huye de un pasado turbulento, llega a la ciudad de Recife, donde espera construir una nueva vida y reencontrarse con su hijo. Todo se complica cuando descubre que las fuerzas gubernamentales le persiguen y las amenazas de muerte se ciernen sobre su cabeza."
HAMNET,Chloé Zhao,125,03,16:00,2026-03-05,Renoir Princesa,https://www.pillalas.com/pase/1056837/,https://www.cinesrenoir.com/pelicula/hamnet/,https://www.cinesrenoir.com/media/Peliculas/Cartel/HAMNET_Cartel_Digital_8Nominaciones_Oscar_YaEnCines_v2_2.jpg,Inglés,No recomendada para menores de 12 años,Viernes 23 Enero 2026,"Jessie Buckley, Paul Mescal, Joe Alwyn, Emily Watson","Año 1596, Stratford-upon-Avon, Inglaterra. La vida de Agnes transcurre plácidamente junto a su marido y sus tres hijos. Ella cultiva plantas medicinales mientras William trabaja en Londres. El destino, sin embargo, les reservará un duro golpe cuando su hijo Hamnet, de once años, muera repentinamente tras contraer la peste. A raíz de esta tragedia, su padre creará uno de los grandes personajes de la literatura universal, de nombre casi idéntico al de su hijo.


Pero esta película no habla de famosos sucesos sino de algo íntimo y olvidado: La vida de esta familia, y especialmente la de la mujer que la sostenía y que tuvo que cargar con una insoportable pérdida."
HAMNET,Chloé Zhao,125,05,17:40,2026-03-05,Renoir Princesa,https://www.pillalas.com/pase/1056972/,https://www.cinesrenoir.com/pelicula/hamnet/,https://www.cinesrenoir.com/media/Peliculas/Cartel/HAMNET_Cartel_Digital_8Nominaciones_Oscar_YaEnCines_v2_2.jpg,Inglés,No recomendada para menores de 12 años,Viernes 23 Enero 2026,"Jessie Buckley, Paul Mescal, Joe Alwyn, Emily Watson","Año 1596, Stratford-upon-Avon, Inglaterra. La vida de Agnes transcurre plácidamente junto a su marido y sus tres hijos. Ella cultiva plantas medicinales mientras William trabaja en Londres. El destino, sin embargo, les reservará un duro golpe cuando su hijo Hamnet, de once años, muera repentinamente tras contraer la peste. A raíz de esta tragedia, su padre creará uno de los grandes personajes de la literatura universal, de nombre casi idéntico al de su hijo.


Pero esta película no habla de famosos sucesos sino de algo íntimo y olvidado: La vida de esta familia, y especialmente la de la mujer que la sostenía y que tuvo que cargar con una insoportable pérdida."
HAMNET,Chloé Zhao,125,05,20:00,2026-03-05,Renoir Princesa,https://www.pillalas.com/pase/1056975/,https://www.cinesrenoir.com/pelicula/hamnet/,https://www.cinesrenoir.com/media/Peliculas/Cartel/HAMNET_Cartel_Digital_8Nominaciones_Oscar_YaEnCines_v2_2.jpg,Inglés,No recomendada para menores de 12 años,Viernes 23 Enero 2026,"Jessie Buckley, Paul Mescal, Joe Alwyn, Emily Watson","Año 1596, Stratford-upon-Avon, Inglaterra. La vida de Agnes transcurre plácidamente junto a su marido y sus tres hijos. Ella cultiva plantas medicinales mientras William trabaja en Londres. El destino, sin embargo, les reservará un duro golpe cuando su hijo Hamnet, de once años, muera repentinamente tras contraer la peste. A raíz de esta tragedia, su padre creará uno de los grandes personajes de la literatura universal, de nombre casi idéntico al de su hijo.


Pero esta película no habla de famosos sucesos sino de algo íntimo y olvidado: La vida de esta familia, y especialmente la de la mujer que la sostenía y que tuvo que cargar con una insoportable pérdida."
HAMNET,Chloé Zhao,125,05,22:20,2026-03-05,Renoir Princesa,https://www.pillalas.com/pase/1056980/,https://www.cinesrenoir.com/pelicula/hamnet/,https://www.cinesrenoir.com/media/Peliculas/Cartel/HAMNET_Cartel_Digital_8Nominaciones_Oscar_YaEnCines_v2_2.jpg,Inglés,No recomendada para menores de 12 años,Viernes 23 Enero 2026,"Jessie Buckley, Paul Mescal, Joe Alwyn, Emily Watson","Año 1596, Stratford-upon-Avon, Inglaterra. La vida de Agnes transcurre plácidamente junto a su marido y sus tres hijos. Ella cultiva plantas medicinales mientras William trabaja en Londres. El destino, sin embargo, les reservará un duro golpe cuando su hijo Hamnet, de once años, muera repentinamente tras contraer la peste. A raíz de esta tragedia, su padre creará uno de los grandes personajes de la literatura universal, de nombre casi idéntico al de su hijo.


Pero esta película no habla de famosos sucesos sino de algo íntimo y olvidado: La vida de esta familia, y especialmente la de la mujer que la sostenía y que tuvo que cargar con una insoportable pérdida."
HER [WILDER CINEMA],Spike Jonze,126,07,20:10,2026-03-05,Renoir Princesa,https://www.pillalas.com/pase/1057511/,https://www.cinesrenoir.com/pelicula/her-wilder-cinema/,https://media.pillalas.com/imagenes/726afb526abffa8387ccd508a5ad36b2aed6fd8311052ffff2c8ef0aadfce5f2ec3c297d.jpg,Inglés,No recomendada para menores de 12 años,Jueves 5 Marzo 2026,"Joaquin Phoenix,  Amy Adams,  Rooney Mara,  Scarlett Johansson,  Olivia Wilde,  Chris Pratt,  Sam Jaeger,  Portia Doubleday,  Katherine Boecher,  Alia Janine,  Matt Letscher","Delicada y melancólica reflexión sobre el amor, la soledad y la tecnología, Her imagina un futuro cercano tan íntimo como reconocible. Spike Jonze construye una historia profundamente emocional apoyada en la interpretación de Joaquin Phoenix y una puesta en escena cálida y minimalista. Sensible, elegante y sorprendentemente visionaria, es una de las películas más influyentes del cine reciente sobre nuestras relaciones en la era digital.Oscar al Mejor Guion Original“Una película hermosa y profundamente emotiva.” — El País“Romántica, inteligente y conmovedora.” — Fotogramas“Cine de ciencia ficción emocional.” — Cinemanía“Una obra maestra contemporánea.” — The Guardian“Extraordinariamente humana.” — The New York Times"
